Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK,AAPL,MSFT,AMZN,GOOGL,CSCO,QCOM,UNH,COST,CVX,NEE
Feb-16,0.074124217,0.057464411,0.049822778,0.028419352,0.051865009,0.075585439,0.072446454,-0.001013308,0.032410653,0.042919526,0.000138919,0.056499572,0.130576135,0.079872202,0.090940231,0.025158757,0.045962247,0.075007974,0.077776578,0.05377415,0.127210623,0.085495251,0.074422638,0.063690371,0.087471313,0.00689109,0.082283758,0.050323289,0.143336514,0.048927466
Mar-16,0.061919017,0.025373555,0.045419799,0.035859519,0.067207025,-0.034274628,0.00644494,0.103576157,-0.023653295,0.057542768,0.048882052,0.009937166,0.015416779,0.076923071,-0.032714665,-0.026606668,0.067927191,0.003447551,0.000101948,0.036477022,-0.139921096,-0.097048717,0.111094289,-0.072119529,-0.034422184,-0.012123562,0.021567098,-0.059969519,0.071069168,-0.006422127
Apr-16,-0.064169139,-0.033956558,-0.028212784,0.005442541,0.032753165,-0.004464286,-0.035022531,0.060840316,0.058470691,0.007013575,-0.006619886,0.022009381,-0.067035499,0.015796671,-0.016910556,0.011482753,0.031639349,-0.013219839,0.005707272,0.025893501,0.065286995,0.062763207,0.095817094,0.057877041,0.056747889,0.087094174,0.015112436,0.004320525,-0.011548251,0.021602321
May-16,0.029488704,0.030240501,-0.068347128,0.076404295,-0.04795465,0.016367713,-0.01409143,0.014695734,0.031649084,0.053021793,0.049580185,-0.060425692,0.0455109,-0.10277211,0.041349709,0.044792661,-0.016208493,-0.03353007,0.030806657,0.023995771,-0.042659745,-0.034528336,-0.009919934,-0.060519532,-0.012392383,-0.024581182,0.056332751,0.055589089,0.03792081,0.08558101
Jun-16,0.029183029,-0.003591408,0.068851797,0.032399011,0.02944963,-0.037502758,-0.022353332,0.047715064,-0.000686119,-0.051098784,0.052571421,0.052312323,0.091676623,0.091936644,-0.010800585,0.010865693,0.069778768,0.082621997,-0.014353117,0.018225983,0.090062769,0.107680327,0.060353267,0.12481353,0.064133849,0.168191193,0.014164306,0.064824302,-0.022417232,-0.016180987
Jul-16,-0.03149783,0.043113606,0.067061268,-0.047033458,0.055182117,-0.004584002,-0.016914577,-0.056654437,-0.020967722,-0.02034851,-0.062009886,0.036515033,-0.009787399,0.113871611,0.003211333,0.020095821,-0.032160724,-0.029803315,-0.00329146,0.070405764,0.01813645,0.013761446,0.013639827,-0.001882908,0.029806742,0.007829943,-0.049930126,-0.030678178,-0.018540217,-0.057292004
Aug-16,0.017690228,-0.040002658,-0.048329989,-0.010139098,-0.013481481,-0.02555837,-0.002593809,-0.026724303,0.00951997,0.00160661,0.032282986,0.022249634,0.083221476,-0.030359343,-0.051856591,0.027946427,-0.016068624,-0.040560712,-0.027118974,-0.006051969,0.065504285,0.002436467,0.088603183,0.017990727,0.008905813,0.086094821,0.029033421,-0.05910298,0.023265026,0.011410594
Sept-16,0.081144679,-0.001176715,0.105227259,-0.018115635,0.040096111,0.001890359,-0.02418516,-0.063774056,-0.029118379,-0.045371219,-0.079990103,-0.002297398,-0.059817481,0.054313125,-0.017555691,-0.032869047,-0.115585872,-0.051833936,-0.008023028,-0.05912514,0.004334346,0.040277774,-0.056717349,0.007263135,-0.032786855,0.003211697,0.009500013,-0.030424232,0.017780819,0.046435581
Oct-16,0.057080671,0.091060291,0.230307451,-0.04043452,0.157522379,-0.048349057,0.059518522,0.013559773,0.005852664,0.047767643,-0.091007502,-0.062901494,0.144979614,0.280000051,0.05704466,-0.050000044,0.089996425,0.060568737,-0.08461223,0.042064075,-0.026598593,0.005674235,-0.049694904,-0.042005192,-0.02803131,-0.008585622,0.120215137,0.015148479,0.06501191,-0.107578099
Nov-16,0.034006376,0.035188008,0.091933057,0.035130279,0.076337782,0.027509294,0.020541628,0.010578624,-0.0185974,0.033906071,0.09579857,0.009053246,-0.029510253,0.046401492,0.02730821,0.019645922,0.029934206,0.036166987,0.036361567,-0.037914706,0.04795515,0.03119816,-0.00093262,0.021356464,0.013413804,-0.043006024,0.010863984,0.066617813,0.055037644,0.045784781
Dec-16,0.049717369,0.007117438,-0.042305283,-0.017012412,-0.019237455,0.00265316,0.00698324,-0.023089115,-0.034436063,-0.070573898,0.047314692,0.060112825,0.031485938,0.024434344,-0.060126618,0.04186485,-0.024113675,0.026103818,0.05071592,0.052998152,0.047746493,0.040392697,0.098163683,0.035005292,0.016545335,-0.180521429,0.012871863,0.023983488,-0.053950711,0.03566049
Jan-17,0.102863787,0.044352382,0.081719867,0.079116998,0.070778684,0.009381766,0.041445704,0.075322905,0.062783192,-0.030635356,0.075035686,0.063233024,0.01045369,0.09010605,0.003703758,0.039611887,0.011945664,0.053278105,0.137522122,0.062590731,0.128883455,-0.010363526,0.02618155,0.030163732,0.112630243,0.057084021,0.020234415,0.080695309,0.010327809,0.058842537
Feb-17,-0.01869833,-0.027651383,-0.073933726,0.019147369,-0.030677555,0.011439466,0.015354485,0.002637266,0.016211918,0.008484998,0.015698624,0.010575395,-0.040347624,-0.044165322,-0.000335482,-0.013396302,0.053686991,0.01324959,0.032464592,-0.035372694,0.04868967,0.029384199,0.049110121,0.003396762,-0.011117644,0.01522664,-0.008284015,-0.053561297,-0.045599976,-0.020076373
Mar-17,0.045063892,-0.008819294,-0.025770503,-0.008671216,-0.009562842,0.0167295,0.079623486,-0.008476876,0.043006859,-0.004389709,-0.024372881,0.026443101,0.102414832,-0.010597711,-0.02718126,-0.028046708,0.011970515,0.063134265,-0.018246281,-0.019043169,-0.000069677,0.039477656,0.043370872,0.090493098,0.007988179,-0.062783371,0.066276512,0.058620083,-0.006240158,0.040430028
Apr-17,0.015149056,0.000423703,-0.056032172,0.038713858,-0.055747126,0.053765933,0.078324877,-0.037441105,0.045491367,-0.014084507,-0.030343626,0.043959681,0.030999395,-0.039845771,-0.055536366,0.008702559,0.001213136,-0.016592002,0.080837306,0.044601382,0.063418037,0.020157717,0.075276461,0.067678319,-0.074552364,0.065686615,0.001715392,0.016392453,-0.03017801,0.058999738
May-17,0.053935938,0.024745886,0.05036448,0.031500975,0.112598904,-0.013635364,0.015044072,0.02878781,-0.03714928,0.002857143,0.034309455,-0.015226342,0.01925447,0.08255245,-0.013513449,-0.010670846,0.098303633,-0.00071657,-0.019616077,-0.015665848,-0.057213868,-0.013029726,-0.02676394,-0.05816083,-0.007294686,-0.035795342,0.058454195,-0.113617474,0.008214133,-0.00926186
Jun-17,0.226093552,0.033063707,0.015457413,0.003250435,0.004376368,0.022073579,0.012927657,-0.012800864,0.056952241,-0.008547009,0.004374248,0.061633598,0.060394546,-0.005770791,-0.051832705,0.042111281,-0.035857101,-0.02477176,-0.006300535,-0.003276651,0.032703731,0.054693118,0.020433851,0.017016615,0.004792381,-0.036762089,0.034462299,-0.008878873,0.046582963,0.042531872
Jul-17,-0.011548297,0.035377493,-0.007056317,-0.002637131,-0.009912854,-0.006326353,0.03113317,0.022921041,-0.02400321,-0.046351824,-0.01657395,0.039775002,0.031066266,-0.009535715,-0.041390106,0.015965613,0.077099115,0.001804739,0.001885025,-0.00031304,0.102669298,0.028473174,-0.007268849,0.010301417,0.024165288,-0.01729645,0.036963643,-0.011166419,-0.014378603,0.03025531
Aug-17,0.060711007,0.011923162,0.060114419,-0.017828813,0.050830674,-0.011855104,-0.020566356,0.05247477,0.000895358,0.0740207,0.052281953,0.016615159,0.06145205,0.060694885,-0.015071276,-0.013980637,0.180079642,0.091345852,-0.050628565,0.002662051,-0.060243932,-0.003744801,-0.019630792,0.019345919,0.044085751,-0.008226522,-0.015334278,0.048168863,0.091804469,-0.026310488
Sept-17,0.014830258,0.019746891,0.022302795,0.072302131,0.05339755,0.021550766,0.065292316,-0.017927533,0.11735211,0.016711393,-0.042085556,0.045039962,0.088926342,0.080899733,-0.166253072,-0.051000295,0.015642577,0.013573008,-0.057382241,-0.139622028,0.096807674,0.11665999,0.149716518,0.060920995,0.015462398,-0.016010838,0.073372452,-0.01953857,-0.013702133,0.058137182
Oct-17,0.072951392,0.032470311,0.021280106,-0.000573847,0.038862936,-0.004567203,0.030315739,0.034228872,0.113620589,-0.000719856,0.032950901,0.023731523,0.039396103,0.028477572,-0.092757963,0.042274747,0.073905797,0.084690606,-0.018061921,0.003267327,0.016623361,0.011901874,0.064662377,0.003029853,0.092240046,0.300529279,0.085386723,0.144958968,0.026749491,0.019152549
Nov-17,0.065426301,0.02699342,0.028751413,0.00279911,0.023153463,0.002403321,0.000872245,-0.001105529,0.015631123,0.004202185,-0.002126658,0.012700953,0.116401053,0.047923336,-0.045926766,0.021002327,-0.002166726,0.053998393,0.028223859,0.018093042,-0.015245914,0.016276616,-0.006186568,0.016628542,0.026809652,-0.034971357,-0.033790558,0.009163382,0.052105258,-0.01170584
Dec-17,0.201620833,0.081525578,0.051538703,-0.010950472,0.081634561,0.037271142,-0.005693702,0.022641817,0.079495569,0.043758967,-0.035638198,0.089545755,0.032999092,0.084010823,-0.073352386,-0.06029605,0.160376407,0.059990477,0.014955057,0.052958914,-0.01063643,0.110708454,0.240638975,0.122289769,0.084595346,0.066073158,0.074026996,0.047012681,0.001278026,0.014277455
Jan-18,0.022123769,-0.03349193,-0.018515062,-0.060134597,-0.001469698,-0.091826014,-0.078298469,-0.019708306,-0.155629978,-0.132416953,-0.054389202,-0.010383972,-0.050067539,0.003124952,-0.127396415,-0.090572157,0.032168959,-0.092732654,-0.034318756,-0.084894506,0.063847595,-0.013051315,0.042429064,-0.066231343,0.077997058,-0.047619048,-0.044851741,-0.020372563,-0.107140012,-0.039578363
Feb-18,-0.094779272,-0.037258687,-0.042102461,-0.013319988,-0.047878788,0.004858862,-0.008621783,-0.02258564,-0.011552178,-0.014919461,0.004544354,-0.02700504,-0.046886114,-0.06573205,-0.044649157,0.00967909,-0.182854183,-0.022110049,-0.040077271,0.004610819,-0.058050733,-0.02666098,-0.043049369,-0.060493528,-0.04220633,-0.147538464,-0.05376726,-0.012938718,0.018942126,0.073480173
Mar-18,0.017323411,-0.028824945,-0.053720321,-0.01295357,-0.010821133,-0.005065623,0.070725157,0.031558109,-0.005732321,0.042085511,0.047822112,0.060692145,-0.020491275,-0.002334101,0.043768536,-0.087537873,0.020073972,0.036804294,-0.175050314,0.080778443,-0.015019694,0.024652132,0.082074796,-0.01789532,0.032641677,-0.079408077,0.104672869,0.046330262,0.0970712,0.003551104
Apr-18,0.055762082,-0.011356011,-0.052238493,-0.054312594,-0.016271373,-0.004859986,-0.044374104,-0.018574014,-0.066922378,0.04488746,0.048970041,0.030264849,0.052299827,-0.029411737,0.000710671,0.011473623,0.024754006,0.009469697,-0.029999989,0.011211164,0.130763653,0.056886226,0.040539411,0.079934793,-0.035674008,0.139384451,0.021615908,0.005477794,-0.006474283,0.01159169
May-18,-0.047279646,-0.025479037,-0.023508057,0.014378866,-0.026259228,0.02,-0.020748703,0.00974169,0.037676598,0.018340719,0.003410171,0.013234361,-0.106905438,-0.029269985,-0.033380621,0.066830662,-0.063573891,0.045832232,0.01508671,0.019653904,-0.009418283,-0.00232695,0.043065192,0.026536352,0.007492384,-0.034411563,0.015858565,0.054176705,0.017135939,0.007357827
