Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM
Mar-19,-0.009779246,0.078749564,0.072555862,0.010086558,0.146399289,0.046948357,0.040389679,-0.043795983,0.054445289,-0.006435644
Apr-19,-0.095528079,-0.089012967,-0.113782051,-0.071175637,-0.086945282,0.001426824,0.003543048,0.022410004,-0.013614472,-0.118460389
May-19,0.065571851,0.079779151,0.121157324,0.061990088,0.055115138,0.036433951,0.047359661,0.043352329,0.089214208,0.082803448
Jun-19,-0.062718057,-0.036309049,0.075904203,-0.065048823,0.037567084,0.03358209,0.014735626,-0.103416031,-0.000993766,-0.029622863
Jul-19,0.067149305,-0.009833033,-0.073683732,-0.01428352,-0.052931034,0.045791374,0.034405847,-0.084707646,0.035150708,-0.079074771
Aug-19,0.044988876,0.022663586,0.016281693,0.007946401,0.071272529,-0.010901163,-0.014956187,0.010688554,0.038683201,0.031103972
Sept-19,-0.106604989,0.021920969,0.02967717,0.020559592,0.061432577,-0.000183688,-0.083880583,0.06790997,-0.011964226,-0.043053392
Oct-19,0.077285164,0.03631574,0.037351204,0.041275371,0.054755043,-0.018923388,-0.011286223,0.003909515,0.015606491,0.008287702
Nov-19,-0.110382872,0.028143441,0.038762141,0.060949887,0.057984214,0.036516854,0.0160942,0.017135424,-0.002100951,0.024218406
Dec-19,-0.022992387,-0.009139073,0.034010351,0.020566258,-0.050502152,0.055103884,0.082789333,-0.049514414,-0.036601713,-0.109773574
Jan-20,-0.135608131,-0.080604197,-0.155541535,-0.096661517,-0.12277123,-0.084075342,-0.092536337,-0.102578629,-0.059481697,-0.171925306
Feb-20,-0.457889571,-0.11393816,-0.230014444,-0.024910767,-0.22461459,-0.172742569,-0.148426636,-0.023339278,0.05516396,-0.261858476
Mar-20,-0.054445487,0.024777115,0.186493305,0.144208038,0.063645452,0.037062147,0.134321137,0.17524587,0.069793784,0.223860943
Apr-20,0.034250461,-0.009500427,0.071257224,-0.008597707,0.016186299,0.01721508,-0.006611218,-0.004433029,0.02064848,-0.02151926
