"","amf","but","bmp","smp","wmp"
"277",6668,5791,3620,3721,4008
"278",6724,5851,3620,3745,3867
"279",6668,5868,3654,3773,3866
"280",6720,6158,3654,3963,4082
"281",6800,6359,4009,4051,4324
"282",6889,6686,4009,4295,4503
"283",7048,7086,4217,4481,4757
"284",7111,6958,4217,4545,4596
"285",6908,6891,4461,4599,4532
"286",6802,6640,4461,4408,4207
"287",6008,5807,4203,4130,3916
"288",6043,5750,4203,4116,3934
"289",6201,6068,4398,4240,4158
"290",5913,6213,4398,4276,4125
"291",5706,5648,4064,4063,3961
"292",5580,5530,4064,3709,3757
"293",5518,5194,3724,3524,3544
"294",4990,5204,3724,3524,3417
"295",5677,5369,3537,3575,3610
"296",5901,5356,3537,3547,3733
"297",5811,4983,3374,3497,3573
"298",5661,4851,3374,3250,3421
"299",5562,4868,2973,2972,3279
"300",5711,4829,2973,3057,3397
"301",5797,4725,2979,3102,3400
"302",5675,4602,2979,2965,3246
"303",5395,4479,2556,2838,3208
"304",5337,4449,2556,2842,3218
"305",5586,4745,2633,2829,3329
"306",5447,4922,2633,2769,3264
"307",5340,4899,2521,2739,3277
"308",5150,4748,2521,2648,3228
"309",4736,4595,2529,2579,3053
"310",4981,4821,2529,2776,3089
"311",4832,4947,2468,2787,3230
"312",4600,5068,2468,2766,3244
"313",4728,5088,2322,2755,3173
"314",4758,5379,2322,2667,3172
"315",4579,4842,2189,2525,3149
"316",4745,4705,2189,2503,3100
"317",4705,4680,2207,2454,2864
"318",4452,4539,2207,2333,2548
"319",4561,4588,2215,2286,2702
"320",4787,4723,2215,2400,2799
"321",4979,4806,2245,2558,2931
"322",5310,4940,2245,2659,3059
"323",5489,4890,2323,2724,2971
"324",5544,4833,2323,2622,3027
"325",5573,4936,2387,2671,3104
"326",5578,5458,2387,2620,3207
"327",5595,5514,2384,2613,3290
"328",5842,5906,2384,2638,3353
"329",6033,6516,2412,2758,3463
"330",6552,6526,2412,2788,3388
"331",6637,6461,2504,2640,3286
"332",6794,6408,2504,2517,3143
"333",6934,6592,2496,2550,3246
"334",7062,6546,2496,2541,3269
"335",7124,6593,2545,2551,3350
"336",7365,6931,2545,2629,3408
